q,pc,bf,nc,bfnc
9	,  , BF, NC, BF+NC
10	,  , BF,   , BF+NC
11	,  , BF,   , BF+NC
12	,  , BF,   , BF+NC
13	,  , BF,   , BF+NC
14	,  ,   , NC, BF+NC
15	,PC,   ,   ,
16	,PC,   ,   ,
17	,PC,   ,   ,
18	,PC,   ,   ,
19	,PC,   ,   ,
20	,PC,   ,   ,
21	,PC,   ,   ,
22	,PC,   ,   ,
23	,PC,   ,   ,
24	,  ,   , NC, BF+NC
25	,  ,   , NC, BF+NC
26	,PC,   ,   ,
27	,PC,   ,   ,
28	,PC,   ,   ,
29	,PC,   ,   ,
30	,  ,   , NC, BF+NC
31	,  ,   , NC, BF+NC
32	,  ,   , NC, BF+NC
33	,  ,   , NC, BF+NC
34	,PC,   ,   ,
35	,PC,   ,   ,
36	,  ,   , NC, BF+NC
